FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
66,-371.56231689453125,66,-260.18048095703125,66,-368.7073669433594,66,-398.02069091796875,66,-321.32623291015625,66,-404.2358703613281
67,-255.08009338378906,67,-259.5300598144531,67,-346.8043212890625,67,-395.9228210449219,67,-348.9066162109375,67,-301.8602294921875
68,-229.36776733398438,68,-260.5409851074219,68,-358.9587097167969,68,-402.0820617675781,68,-318.6134033203125,68,-307.0324401855469
69,-278.3529968261719,69,-259.1783142089844,69,-360.57611083984375,69,-322.9944152832031,69,-276.5957336425781,69,-282.0396728515625
70,-219.0231170654297,70,-227.5867462158203,70,-353.0126953125,70,-316.8769836425781,70,-267.5013427734375,70,-312.08978271484375
71,-246.22593688964844,71,-213.44326782226562,71,-345.546875,71,-292.6232604980469,71,-278.96539306640625,71,-239.2779998779297
72,-239.8052978515625,72,-220.4634246826172,72,-310.2384033203125,72,-338.15478515625,72,-277.5156555175781,72,-254.1326446533203
73,-264.5658874511719,73,-199.1569061279297,73,-265.4484558105469,73,-326.61956787109375,73,-211.6936798095703,73,-238.2226104736328
74,-223.33839416503906,74,-185.62828063964844,74,-282.5873107910156,74,-364.15093994140625,74,-260.3793640136719,74,-250.21490478515625
75,-193.34542846679688,75,-192.59629821777344,75,-304.4273681640625,75,-309.0226135253906,75,-233.8076934814453,75,-271.1515808105469
76,-168.74009704589844,76,-211.31507873535156,76,-260.28289794921875,76,-341.461669921875,76,-242.70919799804688,76,-257.9712219238281
77,-175.6988067626953,77,-214.5541229248047,77,-250.95477294921875,77,-302.20343017578125,77,-220.992431640625,77,-252.55870056152344
78,-176.54042053222656,78,-172.27496337890625,78,-251.0235137939453,78,-279.5301818847656,78,-257.5356140136719,78,-207.99322509765625
79,-143.12591552734375,79,-157.2088165283203,79,-249.37252807617188,79,-237.61024475097656,79,-217.92466735839844,79,-211.47279357910156
80,-156.1815643310547,80,-186.0673828125,80,-241.39109802246094,80,-270.1070251464844,80,-209.75677490234375,80,-196.51641845703125
81,-154.56573486328125,81,-187.25234985351562,81,-236.09127807617188,81,-236.3485107421875,81,-213.29046630859375,81,-212.04400634765625
82,-99.85150146484375,82,-172.81838989257812,82,-199.4246063232422,82,-199.36045837402344,82,-191.13401794433594,82,-191.66502380371094
83,-179.60655212402344,83,-116.45374298095703,83,-226.26742553710938,83,-205.97645568847656,83,-200.81869506835938,83,-181.9573211669922
84,-126.72735595703125,84,-96.63359832763672,84,-185.964111328125,84,-198.245849609375,84,-182.5318603515625,84,-211.77828979492188
85,-98.30522155761719,85,-97.62557220458984,85,-191.35865783691406,85,-198.10031127929688,85,-195.62010192871094,85,-177.6584930419922
86,-48.4329833984375,86,-102.9368667602539,86,-189.25387573242188,86,-165.0055694580078,86,-177.60215759277344,86,-182.30087280273438
87,-74.18807983398438,87,-85.84757232666016,87,-201.90701293945312,87,-233.22125244140625,87,-162.3596649169922,87,-172.11209106445312
88,-27.276824951171875,88,-83.12286376953125,88,-191.2352294921875,88,-176.7795867919922,88,-164.83145141601562,88,-164.05641174316406
89,-35.903404235839844,89,-79.52030944824219,89,-172.6182403564453,89,-182.00196838378906,89,-172.54922485351562,89,-159.99301147460938
90,-17.150066375732422,90,-53.64374923706055,90,-184.9756317138672,90,-169.98062133789062,90,-159.54830932617188,90,-160.29930114746094
91,-43.36321258544922,91,-26.120206832885742,91,-163.11575317382812,91,-163.5127410888672,91,-161.47596740722656,91,-166.69964599609375
92,-2.374910593032837,92,-47.35330581665039,92,-177.8119659423828,92,-168.71124267578125,92,-164.70773315429688,92,-156.68283081054688
93,8.279698371887207,93,10.237336158752441,93,-179.73265075683594,93,-158.62933349609375,93,-151.399169921875,93,-155.34828186035156
94,2.4565885066986084,94,28.57320213317871,94,-163.47325134277344,94,-163.78103637695312,94,-154.24032592773438,94,-158.5637664794922
95,21.92168426513672,95,34.78229522705078,95,-163.9195098876953,95,-162.32862854003906,95,-154.1684112548828,95,-158.07366943359375
96,50.87623596191406,96,44.86274337768555,96,-141.1706085205078,96,-147.9604034423828,96,-156.494140625,96,-147.9596405029297
97,55.54572677612305,97,33.050933837890625,97,-151.21466064453125,97,-154.64254760742188,97,-143.1911163330078,97,-149.225341796875
98,18.78334617614746,98,75.09716033935547,98,-146.43260192871094,98,-154.73193359375,98,-152.7767333984375,98,-146.142333984375
99,90.81913757324219,99,78.2819595336914,99,-147.60047912597656,99,-142.07321166992188,99,-149.41024780273438,99,-141.4881134033203
